,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
0,9,68,2,7714,78,2621,1759,5,1996,773,106,3408,95,845,78,17,3408,1353,455,16,5532,1463,1094,7715,4,336,196,27,64,3,467,4407,19,9,4911,55,81,2062,80,13,254,297,494,940,156,9,7,636,580,55,3986,23,1,206,5,27,250,321,2063,2,2961,358,68,16,37,5533,752,22,645,3,162,2,212,88,14,5,14,7,4912,1,232,2497,29,7716,2365,25,1128,1,221,7717,60,12,37,6415,992,4,8,3987,68,6,3,1679,16,322,9,376,30,139,30,78,2,20,2237,1352,5,550,8,9,7,76,3674,12,675,2,1509,91,4,70,1,1559,2366,2136,13,1927,3,991,1610,3,278,205,1,627,4,57,214,74,7718,1,3675,4,867,23,4408,1,3409,4,484,473,10,1,3676,7716,2365,12,2498,196,27,991,286,1,262,1680,94,378,20,6416,69,31,302,91,30,27,6417,6418,28,27,3673,4,9,7719,90,68,10,76,34,30,299,474,975,1,450,5,1,278,19,136,19,44,184,2781,6,510,23,297,56,30,74,2,2238,1,278,4,1,1014,4,9,133,13,5534,191,56,6,1,4913,382,24,7717,12,2367,5,576,99,25,57,248,1,185,603,128,101,114,4914,4409,1095,147,143
1,845,27,89,297,56,30,74,2,3988,495,28,6420,2,139,3,1096,100,9,4,336,29,1,244,4,8,1201,12,1,123,4411,1761,2368,1,1267,1202,8,901,8,56,196,1234,2499,5,762,1129,2240,27,64,1,1054,4,1389,1432,14,528,19,75,1268,8,3677,7721,3,686,11,1,1202,22,64,707,3,86,6421,185,8,74,121,20,1203,19,4916,2366,73,922,495,5,576,28,6420,2,3169,9,19,7720,28,1835,2,195,1,565,4,9,5,17,1055,451,39,193,2,196,50,127,28,88,21,177,9,27,1,496,1014,2,1,2963,21,9,7,2366,4917,4918,7721,7,188,6,1,439,7722,188,26,1,1301,1204,4,118,2,44,217,6422,5,44,2964,4919,4,17,5537,12,37,3678,2,655,4,191,67,5538,2623,1,619,551,495,5,576,28,1683,1,7723,4,41,354,20,4412,16,14,528,1205,16,1511,5,4413,3679,2,2137,24,12,70,7724,847,78,2497,9,12,2369,189,85,383,518,133,95,153,3170,41,474,1928,68,5,119,61,58,4,124,133,13,5539,148,41,27,2624,2,1,134,7725,628,10,3,38,1,50,28,475,11,61,6,159,510,2368,174,76,166,7726,7726,157,255,1929,101,114,185,687,804
2,1,3172,30,110,67,251,67,136,6,1,210,4414,347,688,1836,242,2139,1836,3680,497,9,12,4416,74,30,386,24,2,1,7734,83,4,2785,397,774,7735,1,97,1560,6,1684,7,86,2500,4,1560,372,78,30,74,40,476,46,9,12,38,848,174,76,166,2241,397,676,3413,9,1390,29,1,2500,4,1560,2,1433,4417,993,30,1837,1,688,237,4,3,2625,26,1,115,3,902,278,4418,2242,7736,397,774,1206,544,252,4,46,9,126,6,1684,7,2500,4,1560,42,20,63,30,1513,61,26,1,2500,4,1560,5,272,61,6,1,7737,4,1,4923,4418,7,1207,174,76,166,1354,397,774,337,23,421,125,3414,4419,6,4420,46,9,6423,64,558,2,1684,7,2500,4,1560,35,719,30,56,1,92,1560,2,21,2965,44,3170,5,3682,44,2243,106,13,7,834,994,397,774,1684,278,2966,9,4414,1390,34,12,34,28,245,359,2,372,29,37,3173,46,1,214,12,43,19,268,646,19,3,4924,1329,6426,24,397,774,7738,41,272,1,4414,753,6,1,54,36,5,1,496,57,6,1684,278,1177,11,411,629,304,50,5,1,618,4,1,3676,1684,9,817,397,774,2967,103,736,452,1684,12,6427,9,101,114,76
3,805,4,323,445,2626,2968,941,237,3991,133,30,82,694,12,122,445,99,294,16,941,5,54,1330,1,6428,5541,62,446,29,1,805,4,323,10,204,577,59,3991,445,1208,1,338,4,1838,237,1,6429,30,62,3683,2,1,3991,5,720,3,754,10,1,1434,1612,60,344,33,25,835,849,4421,5,3174,5,849,2786,34,445,272,3,398,2,14,133,1,754,82,87,976,59,445,3175,1,224,4,1,545,2064,805,38,5542,6430,707,3,188,2370,54,2244,1,868,4,54,1330,5,97,763,609,27,942,2,7739,7,1391,5,35,6431,70,30,2140,6430,15,196,27,1464,286,11,95,450,16,7740,4925,23,2501,2787,477,6432,19,41,1149,6,1269,5,3415,41,354,478,2,5543,196,3992,1759,159,2788,6,1,4926,1465,1,868,4,3,763,338,88,21,7741,191,30,228,42,54,1330,5,941,25,51,4422,156,46,9,1331,2,4423,90,6,468,2,1,818,6,1269,485,315,24,77,416,9,2245,175,1150,5,943,8,3,523,4,941,27,1151,50,805,4,323,38,5542,6430,15,70,9,99,25,15,6,1,104,440,128,101,963,1152,147,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,689,8,904,1,118,1392,250,55,50,3994,4,126,6,1,137,96,1357,6,270,80,14,110,116,77,14,4426,2627,1209,737,32,7,434,5,2969,882,923,3419,203,50,26,1,141,6,1,270,610,77,151,629,84,26,1,1685,77,5,571,80,29,111,81,146,1,168,105,9,22,150,7747,434,882,3,423,2371,4,17,105,1,7748,12,6,252,91,2627,50,1435,2,20,377,2,4427,1,32,7,806,1357,259,664,12,8,904,434,4927,27,68,1,131,5544,22,7749,1,3685,4,737,28,905,30,42,20,5546,53,30,27,4426,2,44,479,637,52,25,97,7750,11,3995,6,1,137,96,171,32,7,241,158,4,127,597,354,20,7751,23,37,434,313,6,17,1154,511,4428,3,5547,4,434,1099,2,1,32,7,806,5,15,1,399,3176,43,295,2141,55,869,80,3996,6,1763,71,367,8,117,4,1,1686,434,1099,7752,2,1,32,7,806,16,995,2,529,6433,1562,26,5548,223,5,361,62,126,4429,91,30,48,67,467,869,2,1155,1,192,66,15,8,26,1393,186,154,3685,2142,62,68,327,84,69,1,266,81,116,77,5,1,1613,4,384,1563,10,869,18,68,790,836,84,2246,16,116,77
5,2,20,3998,5,9,82,211,7759,2144,4,14,75,253,22,51,150,10,8,420,404,83,192,686,2374,4435,15,10,179,9,3687,10,1,268,130,2632,116,77,8,13,33,386,1,1057,26,4930,4931,2,1039,34,9,6,1302,6436,1,6437,194,13,792,2,1,3422,11,3,1841,1212,581,23,17,696,6,148,5,441,427,1691,820,127,589,25,150,347,53,111,1614,1,1764,4,1039,12,57,4,1,423,6438,6,7760,1841,233,883,5,1,3178,883,2375,3180,906,1039,146,1,7761,469,906,473,5,363,14,3,386,21,3999,7762,2630,340,3180,2145,5,3688,845,25,242,1394,9,21,2,3181,16,1,1057,7757,60,33,197,100,1210,4,32,7,241,23,4932,2633,7763,32,7,4431,4,883,7,905,2,56,4,1039,19,115,776,342,53,9,6439,2,4434,1039,19,883,7,776,87,360,4436,37,1057,386,14,33,20,924,2,7764,37,1058,7765,3,777,578,33,20,216,222,3,4437,33,20,19,3,2634,268,503,52,1213,20,3,7766,188,23,9,93,4,9,7,244,819,25,2971,1765,11,61,2,358,17,130,1839,2,3997,3,1842,4,537,187,7767,2504,106,559,25,1615,4,1,721,2146,2,32,7,1395,16,852,637
6,54,36,190,387,2,1130,19,282,4,71,1354,387,42,1130,19,32,7,282,4,83,1,54,36,686,15,10,179,1355,428,387,42,20,923,6,1396,4,489,1214,28,12,870,2066,306,63,1,38,2972,1692,6,590,30,42,75,738,975,173,54,36,686,964,572,15,63,198,43,428,4,3,422,3682,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,722,1566,2,219,2,1466,2,193,70,30,27,104,1333,1397,722,1566,2,219,2,1466,2,193,70,30,27,104,102,3425,3425,397,620,5551,27,377,2,3988,172,5,76,1766,256,2795,53,39,87,155,4,1436,172,35,388,169,14,165,490,7,1997,2,169,452,24,12,257,116,453,6441,2637,4934,7769,397,620,4001,173,1358,5,1567,2,212,119,872,5,1333,58,397,620,4001,173,266,6442,6442,397,620,4001,12,3,512,330,13,2136,17,184,1767,5,494,2,2796,263,397,620,1437,447,16,172,6443,7770,7770,6443,397,620,1934,2797,11,219,115,7771,122,39,1157,68,11,3,132,53,9,21,353,33,172,20,723,2,1157,68,7772,6444,397,620,270,6445,2797,11,7773,4,201,164,2,491,4438,8,7,2635,275,6,165,1568,39,62,406,11,1,631,577,2638,3425,1436,172,33,20,7774,397,620,69,149,174,76,166,7775,7775,397,620,1934,2797,11,219,3425,5,13,2797,11,1,2635,275,4,159,755,28,39,99,1467,120,193,39,6,298,1617,3689,397,620,1437,378,64,386,2,323,2,119,127,7776,7777,58,4,124,1303,1569,12,566,11,1,2250,397,620,794,229,510,42,21,20,665,2,39,552,23,2639,5552,147,143
8,2,1935,7,2068,2377,34,8,4439,107,79,13,18,129,2,1327,2,9,43,79,807,60,18,21,558,2,1,2640,6,37,823,2,71,10,182,4439,15,35,267,608,4440,2,462,68,884,5,3429,3692,56,379,9,132,78,35,350,293,316,16,97,234,2069,35,372,663,2,3,3430,1694,4,499,16,1,47,1236,144,19,136,6,79,641,2,6446,2506,15,73,18,2070,6,3,392,8,13,4439,5,996,1695,632,146,1,4936,2800,16,4002,1936,145,132,7,808,2,1,137,96,37,697,2,6446,15,13,4938,8,1936,18,64,57,4,158,287,1618,1696,6,1,2252,29,3,486,1468,5,8,222,37,874,846,4441,20,1203,19,3,392,16,225,209,2506,198,996,2,873,69,925,10,7782,13,256,2,132,6,1017,5,397,207,6,37,823,10,182,996,15,35,719,53,30,74,20,2641,2642,6,1465,4,1360,165,589,2,1768,56,4,24,1687,221,393,2,90,151,6,1,2975,3431,35,388,20,1237,2,212,16,24,855,4,6447,4003,4004,499,3,647,11,5553,110,21,530,795,2,3,657,11,317,2506,12,3432,16,45,1236,582,102,712,1844,10,93,34,21,56,5555,4,1,144,7,183,4,9,132,231
9,5,21,6450,23,1,226,11,117,394,59,1,3185,158,837,1130,43,1,6448,1,3185,5,1,2071,8,408,85,1,907,596,93,1304,9,7,10,527,226,778,5,17,628,10,38,698,168,2,20,3,4939,26,127,837,8,25,164,2,809,1102,1,1353,455,18,4005,5,2978,5,53,3173,70,73,6451,26,3695,764,7,3693,12,1335,1,1103,311,495,22,326,15,2,1,3693,4,3,2976,400,1469,1,1103,311,3,38,22,15,9,107,2637,764,13,946,70,13,998,68,11,34,63,14,1516,14,3433,1470,127,27,1,627,4,3,214,28,22,848,228,2149,3,1573,52,22,228,6452,43,57,1,455,18,104,367,23,2801,6453,1,213,779,291,11,37,1471,6454,6,2507,59,6453,470,43,1,3694,7,658,4,1,455,13,18,2150,23,1,54,36,121,11,209,2,61,5,780,61,8,1,2253,18,2151,4,17,329,244,54,36,351,1769,219,43,210,317,2,2976,7,3693,1,38,7,1699,16,1,778,4,159,4444,28,25,150,1,3434,6455,27,591,2801,6453,157,676,2802,665,4,468,12,1845,64,70,189,22,284,2,1438,26,1,1158,46,9,5,17,6456,6,1,54,36,128,101,114,994,1102,147,143
